carat,cut,color,clarity,depth,table,price,volume
0,5,7,2,62,57,2770,75
0,5,5,3,60,56,2770,75
0,4,4,4,60,58,2770,75
0,4,4,5,61,58,2770,75
0,5,7,2,59,57,2770,75
0,4,4,4,59,59,2770,75
0,3,3,6,60,56,2771,75
0,3,5,3,61,60,2771,75
0,5,4,4,61,57,2771,75
0,5,5,2,61,55,2771,75
0,3,3,7,60,59,2772,75
0,3,5,2,61,57,2772,108
0,5,4,7,61,55,2772,75
0,5,5,7,61,56,2772,75
0,2,6,4,59,61,2772,75
0,5,7,2,61,56,2773,75
0,4,7,4,58,62,2773,75
1,3,1,1,60,61,2774,144
0,5,6,5,61,55,2774,75
0,5,6,3,62,55,2774,75
0,2,2,4,64,54,2774,75
0,3,5,4,61,61,2775,75
0,3,4,4,63,56,2776,75
0,4,6,4,62,58,2776,75
0,5,6,4,62,57,2776,75
0,5,6,6,61,56,2776,75
0,5,6,6,61,57,2776,75
0,5,4,3,61,56,2776,75
0,5,4,3,60,56,2776,75
0,2,4,4,59,60,2776,75
0,5,4,3,60,56,2776,75
0,3,7,5,62,58,2777,75
0,4,5,4,62,58,2777,75
0,3,5,4,62,57,2777,75
0,2,5,4,63,58,2777,75
0,2,5,4,57,60,2777,75
0,5,6,4,62,55,2777,75
0,4,6,4,61,60,2777,75
0,4,6,3,60,59,2777,75
0,4,6,3,61,57,2777,75
0,4,6,3,62,59,2777,75
0,4,6,3,61,57,2777,75
0,4,6,3,61,58,2777,75
0,5,6,3,61,57,2777,75
0,4,5,3,61,61,2777,75
0,3,6,3,59,63,2777,75
0,4,6,3,61,58,2777,75
0,4,6,3,60,58,2777,75
0,2,6,4,64,59,2777,75
0,1,3,2,67,60,2777,120
0,4,5,3,62,58,2777,75
0,3,6,3,63,60,2777,75
0,5,5,7,61,55,2778,75
0,3,3,4,60,56,2779,75
0,5,6,3,61,56,2779,75
0,3,5,4,63,57,2780,75
0,4,4,4,61,58,2780,75
0,5,5,4,62,54,2780,75
0,5,4,5,61,55,2780,75
0,5,4,5,61,59,2780,75
1,4,5,1,61,60,2781,108
0,5,3,3,62,56,2781,75
0,5,3,3,61,56,2781,75
0,3,3,5,60,63,2782,75
0,3,7,6,57,64,2782,75
0,5,4,4,61,56,2782,75
0,2,6,5,57,62,2782,75
0,4,6,5,62,60,2782,75
0,3,7,2,63,58,2782,75
0,5,7,3,60,57,2782,75
0,4,7,3,62,59,2782,75
0,4,7,3,62,60,2782,75
0,1,4,3,55,67,2782,108
0,4,5,3,61,59,2782,75
0,5,5,8,62,55,2783,75
0,3,5,4,63,54,2784,75
0,3,3,5,63,56,2784,75
0,3,5,4,63,58,2787,75
0,5,5,7,62,57,2787,75
0,5,7,5,61,56,2787,75
0,3,3,7,60,60,2788,75
0,3,2,5,61,60,2788,108
0,5,2,6,61,56,2788,75
0,2,7,4,63,56,2788,75
0,2,4,5,59,64,2788,75
0,5,5,3,62,55,2788,75
1,1,6,1,64,58,2788,144
1,4,3,2,62,59,2788,108
0,2,5,3,64,52,2789,75
0,2,6,3,63,54,2789,75
0,4,6,3,60,58,2789,75
0,4,6,3,61,58,2789,75
1,3,1,2,63,56,2789,144
0,5,4,2,61,56,2789,90
0,5,6,3,61,56,2789,75
0,5,4,8,60,57,2789,75
0,2,4,2,61,61,2789,75
0,4,6,6,62,57,2789,75
0,4,6,7,60,60,2789,75
0,4,3,5,61,60,2789,75
1,1,1,2,65,59,2789,144
0,5,4,8,61,56,2790,75
0,4,2,7,58,59,2790,90
0,5,5,2,62,55,2790,108
0,4,5,5,60,62,2790,75
0,4,5,5,61,59,2790,75
0,3,2,3,63,55,2791,108
0,5,6,3,62,56,2791,75
0,4,6,3,59,59,2792,75
0,4,6,3,61,59,2792,75
0,5,6,3,61,55,2792,75
0,4,5,5,62,60,2792,75
0,4,5,5,60,60,2792,75
0,4,3,6,59,57,2792,75
0,5,5,5,62,56,2792,75
0,3,4,3,60,57,2793,90
0,3,6,4,62,57,2793,75
0,2,6,4,64,55,2793,75
0,5,2,4,61,56,2793,75
0,5,3,4,62,55,2793,75
0,3,6,3,63,56,2794,75
0,3,6,4,60,56,2795,75
0,4,2,6,61,60,2795,75
0,5,5,2,62,55,2795,75
0,2,5,5,60,60,2795,75
0,4,7,2,62,60,2795,75
0,4,2,8,63,57,2795,75
0,4,3,4,58,59,2795,108
0,4,4,4,62,57,2795,75
1,4,2,2,58,60,2795,108
0,2,6,3,63,58,2796,75
0,3,3,2,61,59,2797,90
0,3,6,3,60,60,2797,108
0,4,7,3,62,60,2797,75
0,4,7,3,61,58,2797,75
0,4,7,3,61,60,2797,75
0,5,5,6,61,55,2797,75
0,5,7,7,61,56,2797,75
0,5,4,4,61,58,2797,75
0,5,3,5,61,58,2797,75
0,5,3,5,61,56,2797,75
0,1,4,7,58,66,2797,75
0,4,5,2,61,57,2797,108
1,1,6,2,67,60,2797,144
0,3,3,4,63,60,2797,75
0,5,2,5,61,59,2798,75
0,3,6,2,58,62,2799,108
0,5,5,2,62,54,2799,90
0,5,7,3,61,57,2799,75
0,3,4,8,61,56,2800,75
0,2,2,2,62,59,2800,108
0,4,6,5,62,58,2800,75
0,3,2,2,61,56,2800,108
0,5,4,3,62,57,2800,90
0,5,4,3,61,57,2800,108
0,3,3,3,62,59,2800,90
0,4,4,5,62,60,2800,75
0,5,2,5,61,59,2800,75
0,5,4,8,62,56,2800,75
0,1,4,5,59,70,2800,75
0,5,5,1,60,55,2801,108
0,5,5,4,62,55,2801,75
0,4,5,4,62,58,2801,75
0,5,3,3,60,57,2801,75
0,4,5,4,62,58,2801,75
0,2,5,4,57,60,2801,75
0,2,5,4,63,58,2801,75
0,4,5,4,62,57,2801,75
1,4,4,1,62,58,2801,144
1,4,1,2,62,58,2801,108
0,3,4,2,59,58,2802,108
0,5,5,8,61,54,2802,75
0,4,6,4,63,55,2802,75
0,4,5,5,62,58,2802,75
0,3,5,4,62,58,2803,75
0,3,6,3,63,56,2803,75
0,5,4,4,61,56,2803,75
0,5,6,3,60,54,2803,75
0,2,4,5,65,58,2803,75
0,4,5,4,62,58,2803,75
0,4,5,4,58,62,2803,75
0,4,4,5,62,61,2803,75
0,4,4,4,61,57,2803,75
0,4,4,4,59,60,2803,75
0,4,4,4,60,58,2803,90
0,3,4,5,63,55,2803,75
0,5,7,2,62,57,2803,108
0,3,6,4,63,58,2804,75
0,3,6,4,64,57,2804,75
0,3,6,2,62,56,2804,75
0,3,7,3,62,58,2804,75
0,5,5,5,61,57,2804,75
0,3,5,5,62,58,2804,75
0,5,3,4,61,56,2804,108
0,5,7,3,61,59,2804,75
0,5,7,3,62,56,2804,75
0,5,7,3,61,54,2804,75
0,1,2,3,67,59,2804,75
0,4,5,4,61,58,2805,75
0,4,5,4,61,56,2805,75
0,5,6,2,61,58,2805,75
0,1,6,7,58,66,2805,75
0,4,5,4,62,57,2805,75
0,5,4,4,62,56,2805,75
0,1,5,4,61,68,2805,75
0,2,4,4,64,57,2805,75
0,3,4,3,62,60,2806,75
0,3,3,7,60,58,2806,75
0,5,5,3,61,55,2806,75
0,3,5,5,62,58,2807,75
0,3,5,5,60,57,2807,75
0,4,1,2,61,57,2807,108
0,3,3,4,62,57,2808,75
0,3,5,5,62,57,2808,75
1,1,4,1,66,59,2808,144
0,3,4,4,63,56,2808,75
0,5,6,6,60,56,2808,75
0,3,7,3,63,57,2808,75
0,3,5,3,63,59,2809,75
0,4,7,2,59,57,2809,108
0,4,5,3,60,54,2809,75
1,1,5,1,64,56,2809,144
0,3,5,5,61,56,2810,75
0,3,5,5,59,60,2810,75
0,5,7,2,61,55,2810,75
0,2,5,5,62,61,2810,75
0,2,4,3,62,57,2810,75
0,3,5,3,63,58,2811,75
0,3,7,3,63,54,2811,75
1,1,1,4,65,59,2811,144
0,1,2,2,68,56,2811,144
0,3,4,5,63,60,2812,75
0,3,5,4,59,58,2812,75
0,2,6,3,63,59,2812,75
0,3,5,4,61,58,2812,75
0,4,2,3,62,58,554,32
0,4,2,3,62,58,554,32
0,5,2,3,62,57,554,32
0,4,2,3,61,59,554,32
0,3,2,3,63,56,554,32
0,5,2,3,60,57,554,32
0,4,3,3,60,59,554,32
0,4,3,3,60,55,554,32
0,4,3,3,62,58,554,32
0,3,3,3,63,56,554,32
0,2,3,3,63,55,554,32
0,5,3,3,62,57,554,32
0,3,3,3,63,60,554,32
0,2,2,3,63,55,554,32
0,5,3,2,61,56,554,32
0,3,6,5,61,55,555,32
0,3,6,5,62,55,555,32
0,3,5,3,61,58,555,32
0,5,3,4,61,56,555,32
0,5,3,4,60,57,555,32
0,5,2,5,61,55,555,32
0,5,2,5,62,56,555,32
0,5,4,5,62,56,555,32
0,5,5,5,61,56,555,32
0,5,4,3,60,56,555,32
0,3,6,1,58,62,555,40
0,3,5,4,61,58,556,32
0,5,2,4,61,56,556,32
0,5,4,4,62,56,556,32
0,5,6,5,61,57,556,32
0,3,5,4,62,58,2812,75
0,3,5,4,60,61,2812,75
0,5,7,3,62,57,2812,75
0,1,1,3,55,61,2812,108
0,4,6,4,58,60,2812,75
0,5,5,7,62,57,2812,75
0,4,4,2,59,58,2813,108
0,3,6,3,63,55,2813,90
0,2,2,4,64,58,2813,108
0,4,6,3,62,59,2814,75
0,5,6,3,61,57,2814,75
0,4,6,3,61,59,2814,75
0,3,7,7,61,56,2815,75
0,3,5,2,58,62,2815,90
0,4,4,5,61,58,2815,75
0,5,3,3,60,56,2815,75
0,5,3,3,61,56,2815,75
0,5,3,3,61,55,2815,75
0,5,3,3,61,56,2815,75
0,1,1,4,65,56,2815,108
0,1,5,2,56,60,2815,108
0,4,3,2,60,59,2815,108
0,4,6,4,58,58,2815,75
0,1,6,2,53,63,2815,108
1,4,4,1,60,58,2815,108
0,3,2,6,61,56,2816,75
0,5,4,6,60,57,2816,75
0,2,7,5,63,55,2816,75
0,4,5,3,61,59,2816,75
0,5,3,2,62,56,2816,108
0,5,3,3,62,55,2816,108
0,4,6,3,61,56,2817,75
0,5,2,6,60,56,2817,75
0,5,6,4,62,57,2817,75
0,4,6,4,62,58,2817,75
0,5,5,6,61,56,2817,75
0,4,6,3,59,59,2817,75
0,4,6,3,61,59,2817,75
0,5,6,3,61,55,2817,75
0,4,6,3,61,58,2817,75
0,5,1,4,62,55,2817,108
0,2,6,3,62,64,2817,75
0,4,6,4,62,61,2818,75
0,4,6,4,59,60,2818,75
0,4,6,4,63,60,2818,75
1,4,3,1,61,60,2818,108
0,4,5,2,59,62,2818,108
0,5,3,3,61,57,2818,108
0,5,6,5,62,57,2818,75
0,4,6,5,59,57,2818,75
0,4,5,4,61,60,2818,75
0,4,6,5,62,57,2818,75
1,1,3,2,65,62,2818,144
0,3,4,5,63,58,2819,75
0,5,3,5,62,56,2819,75
0,2,5,5,59,63,2819,75
0,2,5,2,64,60,2819,75
0,5,4,5,62,58,2820,75
0,5,6,3,62,57,2821,75
0,4,6,4,61,59,2821,75
0,5,6,7,61,55,2821,75
0,4,6,3,61,58,2821,75
0,2,6,3,63,57,2821,75
0,4,6,3,59,61,2821,75
0,4,6,3,62,59,2821,75
0,4,7,3,61,55,2821,75
0,3,6,3,63,58,2821,75
0,4,6,5,60,60,2822,75
0,4,6,4,60,59,2822,75
0,4,6,4,60,60,2822,75
0,4,6,4,62,59,2822,75
0,4,6,4,60,60,2822,75
0,5,5,6,62,55,2822,75
0,5,2,7,60,57,2822,75
0,5,5,3,62,55,2822,75
0,4,7,3,62,60,2822,75
0,4,7,3,61,58,2822,75
0,4,7,3,60,60,2822,75
0,5,7,3,60,56,2822,75
0,2,1,4,64,61,2822,108
0,5,7,3,60,56,2822,75
0,4,6,4,61,59,2822,75
0,4,6,4,62,56,2822,75
0,5,7,3,59,58,2822,75
0,2,6,3,61,64,2822,75
0,5,7,3,62,57,2822,75
0,5,7,3,61,56,2822,75
0,4,6,4,60,62,2822,75
0,4,5,4,60,58,2822,75
0,5,7,3,61,54,2822,75
0,3,7,2,62,59,2823,75
0,2,2,3,63,57,2823,108
0,4,6,4,62,58,2823,75
0,5,6,6,61,54,2823,75
0,1,3,2,65,54,2823,90
0,5,6,3,60,56,2823,75
0,4,7,4,61,59,2824,75
0,5,2,6,62,57,2824,75
0,2,6,5,63,58,2824,75
0,5,5,2,62,54,2824,90
0,4,6,2,60,60,2824,108
0,4,4,5,62,59,2825,75
0,4,3,3,60,59,2825,108
0,3,4,5,62,57,2825,75
0,4,3,3,62,59,2825,90
1,4,1,1,60,61,2825,144
0,1,3,2,61,67,2825,108
0,4,6,5,62,60,2826,75
0,2,6,5,57,59,2826,75
0,4,2,2,62,59,2826,108
0,4,6,5,62,58,2826,75
0,3,7,4,63,56,2826,75
0,4,6,5,59,61,2826,75
0,3,2,2,63,56,2826,108
0,4,5,3,60,60,2826,75
0,5,5,1,60,55,2826,108
0,3,7,3,62,59,2827,75
0,2,7,4,64,54,2827,75
0,4,3,6,62,58,2827,75
0,5,3,7,61,57,2827,75
0,5,3,7,62,55,2827,75
0,5,7,2,60,57,2828,75
1,4,3,2,61,61,2828,108
0,4,5,5,62,58,2829,75
0,2,6,2,63,54,2829,75
0,5,6,7,62,56,2829,75
0,5,5,5,61,57,2829,75
0,4,6,2,61,57,2829,75
0,4,6,2,60,57,2829,108
0,3,6,4,62,59,2830,75
0,3,3,3,61,56,2830,75
0,5,5,1,60,56,2830,108
0,5,5,7,60,57,2830,75
0,5,5,7,61,57,2830,75
0,5,2,4,62,54,2830,75
0,4,4,3,60,62,2830,108
0,3,6,2,60,60,2831,75
0,5,6,3,62,57,2831,75
0,5,6,3,61,57,2831,75
0,4,6,3,62,58,2831,75
0,5,4,3,61,56,2831,75
0,3,5,4,62,58,2832,75
0,3,2,2,62,61,2832,108
0,4,4,6,62,57,2832,75
0,4,4,3,63,60,2832,75
0,5,3,3,62,57,2832,75
0,4,5,5,62,58,2832,75
0,2,1,3,64,63,2832,108
0,3,2,4,62,58,2833,75
0,3,6,8,61,59,2833,75
0,3,7,4,59,61,2833,75
0,5,7,4,61,57,2833,75
0,5,5,6,61,55,2833,75
0,5,3,2,62,57,2833,108
0,5,5,3,60,57,2833,75
0,5,4,4,62,56,2834,75
0,5,3,4,62,57,2834,75
0,3,7,7,59,58,2834,75
0,5,5,7,61,57,2834,75
0,5,2,4,61,55,2834,75
0,3,1,3,63,54,2834,108
0,1,4,2,65,59,2834,108
0,5,6,2,60,55,2834,90
0,5,5,5,61,56,2835,75
0,5,5,6,61,57,2835,75
0,5,6,4,61,54,2835,75
0,5,6,4,62,57,2835,75
0,5,6,3,61,57,2835,75
0,4,5,4,59,59,2835,90
0,3,3,3,60,56,2836,108
0,2,6,4,62,60,2836,75
0,4,6,5,62,59,2837,75
0,5,6,5,61,56,2837,75
0,5,5,3,59,53,2838,75
0,3,3,3,60,55,2838,75
0,1,5,3,64,58,2838,75
0,4,5,5,58,60,2838,75
0,4,5,4,62,58,2838,75
0,4,5,4,61,58,2838,75
0,4,4,5,62,55,2838,75
0,4,5,4,59,61,2838,75
0,3,6,3,63,59,2838,75
0,4,5,4,60,61,2838,75
0,4,5,4,59,58,2838,75
0,4,4,5,63,60,2838,75
0,3,6,3,60,57,2839,75
0,5,5,5,61,57,2839,75
0,5,5,5,61,54,2839,75
0,5,5,5,62,55,2839,75
0,4,5,5,59,61,2839,75
0,4,5,5,59,60,2839,75
0,4,5,5,60,58,2839,75
0,5,5,5,62,53,2839,75
0,5,4,4,61,54,2839,75
0,5,6,4,62,54,2839,75
0,5,4,5,61,57,2839,75
0,4,4,6,60,58,2839,75
0,4,5,5,59,58,2839,75
0,4,4,4,59,62,2839,108
0,4,5,5,62,59,2839,75
0,3,3,5,61,60,2840,75
0,3,5,2,59,56,2840,75
0,5,5,3,61,56,2840,75
0,4,5,4,59,56,2840,75
0,5,7,2,61,56,2840,108
0,4,5,2,61,59,2840,108
0,4,3,7,59,60,2840,75
0,4,5,4,60,59,2841,75
0,3,7,5,63,55,2841,75
0,3,7,3,63,57,2841,75
0,5,5,2,61,53,2841,108
0,5,5,2,62,56,2841,90
0,3,5,2,59,57,2841,108
0,5,5,7,61,56,2841,75
1,4,5,1,58,60,2841,108
0,1,4,3,66,56,2841,144
0,5,7,3,61,57,2841,75
0,4,5,4,59,59,2841,75
0,4,4,5,61,58,2841,75
0,5,2,5,62,54,2842,75
0,4,5,4,58,61,2842,75
0,3,6,4,60,62,2843,75
0,3,6,4,62,58,2843,75
0,3,6,4,59,58,2843,75
0,3,5,2,63,58,2843,75
0,3,7,3,61,58,2843,75
0,5,4,6,61,57,2843,75
0,3,5,5,61,59,2843,75
0,5,6,4,62,57,2843,75
0,5,5,2,62,57,2843,75
0,5,4,6,60,57,2843,75
0,3,6,3,57,61,2844,75
0,3,6,5,62,59,2844,75
1,5,2,1,61,57,2844,108
1,2,2,1,63,57,2844,144
0,5,3,4,62,57,2844,75
0,3,6,4,61,59,2845,75
0,3,6,4,58,60,2845,75
0,2,3,4,63,60,2845,75
1,4,3,2,59,61,2845,196
0,5,7,3,61,56,2846,75
0,3,5,5,60,59,2846,75
0,5,3,6,61,56,2846,75
1,1,3,2,65,59,2846,144
1,2,3,1,64,61,2846,108
0,5,6,3,59,59,2846,75
0,5,6,3,61,57,2846,75
0,2,5,4,59,61,2846,75
0,4,6,3,62,59,2846,75
0,4,4,4,61,60,2846,75
0,4,4,5,61,58,2846,75
0,3,3,3,61,57,2847,108
0,5,6,3,60,57,2847,75
0,4,7,3,61,59,2847,75
0,3,4,6,62,59,2848,75
0,5,7,6,61,55,2848,75
0,1,7,2,64,57,2848,75
0,2,6,3,64,54,2849,75
0,3,6,5,63,58,2849,75
0,3,6,4,61,60,2850,75
0,5,5,4,60,59,2850,75
0,5,1,3,61,56,2850,75
1,3,3,1,63,60,2850,144
0,3,5,3,63,57,2851,75
0,5,7,5,62,56,2851,75
0,3,5,2,61,63,2851,108
0,4,3,3,62,59,2851,90
0,5,5,3,61,57,2851,75
0,3,6,8,60,59,2852,75
0,5,2,5,61,57,2852,75
0,5,4,3,61,55,2852,75
0,5,6,3,62,55,2852,75
0,3,2,3,63,57,2852,108
0,4,5,4,62,58,2853,75
0,2,4,5,63,55,2853,75
0,5,7,2,62,57,2853,75
0,4,7,2,60,60,2853,108
0,4,6,3,62,58,2853,75
0,4,2,5,61,58,2853,75
0,3,3,5,61,57,2854,75
0,3,6,5,62,56,2854,75
1,4,3,1,59,61,2854,144
0,4,6,4,62,57,2854,75
0,1,1,4,64,62,2854,108
0,1,1,4,65,60,2854,108
0,2,1,4,64,58,2854,108
0,1,3,3,65,58,2854,108
0,4,6,5,58,59,2854,75
0,4,5,6,61,57,2854,75
0,3,5,4,62,57,2855,75
1,2,1,3,63,57,2855,144
0,4,7,4,62,57,2855,75
0,1,6,2,53,67,2855,108
1,1,2,3,53,63,2856,108
1,1,4,2,67,61,2856,100
1,5,3,2,61,55,2856,108
0,5,5,6,60,57,2856,75
0,5,4,2,61,56,2856,90
0,5,5,1,60,56,2856,108
1,1,2,3,67,62,2856,144
0,5,6,5,62,57,556,32
0,5,6,5,62,56,556,32
0,5,3,3,61,55,556,32
0,2,4,4,57,61,556,32
0,2,6,3,63,57,556,32
0,2,6,3,63,55,556,32
0,2,6,3,63,55,556,32
0,3,4,4,59,62,556,32
0,5,6,3,62,54,556,32
0,2,6,4,64,54,556,32
0,5,2,7,61,55,557,32
0,5,2,7,61,56,557,32
0,5,2,7,62,54,557,32
0,5,2,7,62,54,557,32
0,5,2,7,62,53,557,32
0,5,2,7,62,53,557,32
0,5,4,4,62,53,557,32
0,5,3,5,61,54,557,32
0,5,3,5,61,54,557,32
0,4,4,2,59,59,557,32
0,4,5,2,62,58,557,32
0,4,4,2,62,58,557,32
0,5,4,2,61,56,557,32
0,4,5,2,63,58,557,32
0,4,1,5,62,58,557,32
0,4,1,5,61,61,557,32
0,5,1,5,62,55,557,32
0,5,2,3,63,57,557,32
0,2,2,3,63,53,557,32
0,4,2,3,60,59,557,32
1,1,3,2,66,56,2856,120
0,4,5,3,60,59,2856,75
0,4,5,3,61,58,2856,75
0,2,6,6,60,63,2857,75
0,3,4,2,63,58,2857,108
0,5,6,3,62,57,2857,75
0,4,2,4,61,59,2857,108
0,4,6,3,62,58,2857,75
0,5,4,6,62,56,2858,75
0,3,5,3,61,57,2858,108
0,3,5,3,61,57,2858,108
0,4,6,4,61,60,2858,75
0,4,6,4,61,59,2858,75
0,4,6,4,61,60,2858,75
0,3,6,4,63,59,2858,75
0,4,1,3,62,58,2858,108
0,5,6,3,62,54,2858,75
0,5,7,3,61,56,2858,75
0,4,7,4,60,62,2858,75
0,2,6,6,63,62,2858,75
0,1,4,2,64,56,2858,108
0,1,7,4,56,65,2858,75
0,5,7,4,61,57,2859,75
0,4,7,4,62,56,2859,75
0,4,5,5,60,60,2859,75
0,5,4,5,61,56,2859,75
0,4,7,4,59,61,2859,75
0,1,5,5,55,70,2859,90
0,4,6,2,59,60,2859,108
0,3,5,4,61,61,2860,75
0,3,1,2,63,58,2860,108
0,5,6,6,61,54,2860,75
0,4,7,5,62,57,2860,75
0,5,5,7,61,57,2860,75
0,4,7,3,60,58,2861,75
0,5,4,6,61,56,2861,75
0,5,4,6,61,56,2861,75
0,4,2,3,63,58,2861,108
0,1,5,8,60,61,2861,75
0,4,6,2,61,59,2861,90
0,4,7,5,61,58,2861,75
0,3,7,3,62,55,2862,75
0,3,5,3,62,58,2862,75
0,3,7,2,62,59,2862,75
0,4,5,3,62,54,2862,75
0,3,5,7,63,60,2862,75
0,5,3,4,61,57,2862,75
0,3,6,4,58,63,2862,75
0,4,3,5,60,60,2862,90
0,4,6,4,59,59,2862,75
1,4,6,1,60,57,2862,144
1,1,6,2,67,57,2862,144
0,4,6,4,62,61,2862,75
0,2,2,4,64,58,2863,108
0,5,7,3,60,56,2863,75
0,4,4,3,62,58,2863,90
0,4,5,2,62,59,2863,108
0,4,7,3,61,61,2863,75
0,4,7,3,59,59,2863,75
0,4,7,3,61,56,2863,75
0,5,7,3,61,57,2863,75
0,4,7,3,61,58,2863,75
0,4,7,3,60,58,2863,75
0,4,1,3,59,62,2863,108
0,4,1,4,59,62,2863,108
0,4,3,6,61,62,2863,75
0,4,6,3,59,61,2863,75
0,5,5,4,59,57,2863,75
0,4,6,3,60,60,2863,75
0,5,6,4,61,55,2863,75
0,5,6,2,60,57,2864,108
0,3,2,4,61,58,2865,108
0,4,7,3,60,55,2865,75
0,3,7,7,62,56,2866,75
0,3,7,7,61,55,2866,75
0,5,6,5,62,55,2866,75
0,5,3,7,62,58,2866,75
0,4,2,3,61,58,2866,108
0,3,3,7,62,57,2867,75
